Ex(m), Ey(m), Ez(m)
0.01833653, 0.006213509, 0.01858521
0.1403184, -0.00549648, 0.01951599
0.4366558, -0.0175081, 0.01904106
1.004348, -0.02672434, 0.01883411
1.827536, -0.03497124, 0.01980782
2.966747, -0.03607309, 0.02046776
4.414282, -0.02617753, 0.02009392
6.10475, -0.01494503, 0.01972198
7.996287, -0.006682396, 0.02007961
9.785326, -0.0005276203, 0.02093697
11.55356, 0.06481647, 0.0207386
13.2894, 0.3093615, 0.01917839
14.83045, 0.8342447, 0.01660633
1.494459, 0.7600385, 0.01312256
2.956427, 0.1687373, 0.01134109
4.699896, -0.1372201, 0.009626389
6.646317, -0.2152759, 0.008083344
8.627765, -0.1908846, 0.008851051
10.65031, -0.1496467, 0.01027584
12.68685, -0.08394086, 0.01061535
14.58638, 0.09944803, 0.008630753
16.33226, 0.5006278, 0.007160187
0.7755241, 0.9075652, 0.005306244
2.410279, 0.282235, 0.003461838
4.148376, -0.05628395, 0.002959251
5.964679, -0.1693437, 0.0030756
7.829743, -0.1655414, 0.003951073
9.771654, -0.1369843, 0.004933357
11.66014, -0.06137705, 0.005454063
13.40272, 0.1756468, 0.005066872
14.98927, 0.6766615, 0.003864288
1.279233, 0.8291273, 0.002193451
2.803339, 0.2028347, 0.0001182556
4.509152, -0.1173178, -0.001824379
6.301034, -0.2095337, -0.002967834
8.176727, -0.1967807, -0.002615929
10.07843, -0.1629047, -0.0005655289
11.99756, -0.05277777, 0.0004606247
13.78295, 0.2402105, 0.0001983643
15.40267, 0.8029389, -0.001049042
1.457125, 0.6951088, -0.002975464
3.048969, 0.1233236, -0.004927635
4.823879, -0.1685254, -0.006746292
6.65897, -0.2563884, -0.007674217
8.63003, -0.2563031, -0.007110596
10.6429, -0.2270997, -0.005755424
12.57626, -0.1859808, -0.00528717
14.2588, -0.1392204, -0.003260612
15.72354, -0.09594584, 0.0002326965
16.82775, -0.05875468, 0.0001068115
17.6166, -0.03319299, -0.0009279251
18.06678, -0.01433647, -0.002258301
18.20043, -0.0052284, -0.00242424
